condition_id,chemistry,temperature_C,soc_min,soc_max,charge_C,discharge_C,replicate_count_metadata,visual_plus_count,digitized_marker_efc,bar_efc_value,cardinality_status,published_class,reference_resolution_status,axis_efc_per_pixel,tau_c,within_marker_spread,a1_power_classification
LFP_40-60_25C_0.5-0.5C,LFP,25,40,60,0.5,0.5,2,0,,7770,EXTRAPOLATED_MATCH,EXTRAPOLATED_ONLY,RESOLVED,12.5,50.0,0.0,N/A_EXTRAPOLATED
LFP_40-60_25C_0.5-3C,LFP,25,40,60,0.5,3.0,2,0,,2800,EXTRAPOLATED_MATCH,EXTRAPOLATED_ONLY,RESOLVED,12.5,50.0,0.0,N/A_EXTRAPOLATED
LFP_20-80_25C_0.5-0.5C,LFP,25,20,80,0.5,0.5,4,0,,7170,EXTRAPOLATED_MATCH,EXTRAPOLATED_ONLY,RESOLVED,12.5,50.0,0.0,N/A_EXTRAPOLATED
LFP_20-80_25C_0.5-3C,LFP,25,20,80,0.5,3.0,1,2,3370;3610,3490,OVERPLOTTED_OR_MIXED,MEASURED_PRESENT,RESOLVED,12.5,50.0,240,HIGH_POWER
LFP_0-100_15C_0.5-1C,LFP,15,0,100,0.5,1.0,2,0,,8790,EXTRAPOLATED_MATCH,EXTRAPOLATED_ONLY,RESOLVED,12.5,50.0,0.0,N/A_EXTRAPOLATED
LFP_0-100_15C_0.5-2C,LFP,15,0,100,0.5,2.0,2,0,,6380,EXTRAPOLATED_MATCH,EXTRAPOLATED_ONLY,RESOLVED,12.5,50.0,0.0,N/A_EXTRAPOLATED
LFP_0-100_25C_0.5-0.5C,LFP,25,0,100,0.5,0.5,1,0,,6370,EXTRAPOLATED_MATCH,EXTRAPOLATED_ONLY,RESOLVED,12.5,50.0,0.0,N/A_EXTRAPOLATED
LFP_0-100_25C_0.5-1C,LFP,25,0,100,0.5,1.0,4,0,,7170,EXTRAPOLATED_MATCH,EXTRAPOLATED_ONLY,RESOLVED,12.5,50.0,0.0,N/A_EXTRAPOLATED
LFP_0-100_25C_0.5-2C,LFP,25,0,100,0.5,2.0,2,0,,7680,EXTRAPOLATED_MATCH,EXTRAPOLATED_ONLY,RESOLVED,12.5,50.0,0.0,N/A_EXTRAPOLATED
LFP_0-100_25C_0.5-3C,LFP,25,0,100,0.5,3.0,4,4,2750;3050;3550;3900,3460,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,12.5,50.0,1150,HIGH_POWER
LFP_0-100_35C_0.5-1C,LFP,35,0,100,0.5,1.0,4,0,,4470,EXTRAPOLATED_MATCH,EXTRAPOLATED_ONLY,RESOLVED,12.5,50.0,0.0,N/A_EXTRAPOLATED
LFP_0-100_35C_0.5-2C,LFP,35,0,100,0.5,2.0,2,0,,3080,EXTRAPOLATED_MATCH,EXTRAPOLATED_ONLY,RESOLVED,12.5,50.0,0.0,N/A_EXTRAPOLATED
NMC_40-60_25C_0.5-0.5C,NMC,25,40,60,0.5,0.5,2,2,2100;2180,2140,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,80,HIGH_POWER
NMC_40-60_25C_0.5-3C,NMC,25,40,60,0.5,3.0,2,2,2450;2670,2560,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,220,HIGH_POWER
NMC_20-80_25C_0.5-0.5C,NMC,25,20,80,0.5,0.5,4,4,790;1800;1890;2150,1650,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,1360,HIGH_POWER
NMC_20-80_25C_0.5-3C,NMC,25,20,80,0.5,3.0,2,2,820;1750,1270,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,930,HIGH_POWER
NMC_0-100_15C_0.5-1C,NMC,15,0,100,0.5,1.0,2,2,160;180,170,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,20,LOW_POWER
