[2026-09-05T21:42:18.409441+00:00] Fetch failed for cell_id | filename_base | study | cathode | anode | temp_C | soc_range | crate_c | crate_d | cap_ah | form_factor: InvalidURL - URL can't contain control characters. '/data/snl/cell_id | filename_base | study | cathode | anode | temp_C | soc_range | crate_c | crate_d | cap_ah | form_factor_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:19.763465+00:00] HTTP 404 for --------|---------------|-------|---------|-------|--------|-----------|---------|---------|--------|------------: Not Found
[2026-09-05T21:42:19.964608+00:00] Fetch failed for SNL_18650_LFP_15C_0-100_0.5/1C_a | SNL_18650_LFP_15C_0-100_0.5-1C_a | snl | LFP | graphite | 15C | 0-100% | 0.5C | 1C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_15C_0-100_0.5/1C_a | SNL_18650_LFP_15C_0-100_0.5-1C_a | snl | LFP | graphite | 15C | 0-100% | 0.5C | 1C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:20.165598+00:00] Fetch failed for SNL_18650_LFP_15C_0-100_0.5/1C_b | SNL_18650_LFP_15C_0-100_0.5-1C_b | snl | LFP | graphite | 15C | 0-100% | 0.5C | 1C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_15C_0-100_0.5/1C_b | SNL_18650_LFP_15C_0-100_0.5-1C_b | snl | LFP | graphite | 15C | 0-100% | 0.5C | 1C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:20.366569+00:00] Fetch failed for SNL_18650_LFP_15C_0-100_0.5/2C_a | SNL_18650_LFP_15C_0-100_0.5-2C_a | snl | LFP | graphite | 15C | 0-100% | 0.5C | 2C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_15C_0-100_0.5/2C_a | SNL_18650_LFP_15C_0-100_0.5-2C_a | snl | LFP | graphite | 15C | 0-100% | 0.5C | 2C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:20.567497+00:00] Fetch failed for SNL_18650_LFP_15C_0-100_0.5/2C_b | SNL_18650_LFP_15C_0-100_0.5-2C_b | snl | LFP | graphite | 15C | 0-100% | 0.5C | 2C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_15C_0-100_0.5/2C_b | SNL_18650_LFP_15C_0-100_0.5-2C_b | snl | LFP | graphite | 15C | 0-100% | 0.5C | 2C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:20.768681+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/0.5C_a | SNL_18650_LFP_25C_0-100_0.5-0.5C_a | snl | LFP | graphite | 25C | 0-100% | 0.5C | 0.5C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/0.5C_a | SNL_18650_LFP_25C_0-100_0.5-0.5C_a | snl | LFP | graphite | 25C | 0-100% | 0.5C | 0.5C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:20.969520+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/1C_a | SNL_18650_LFP_25C_0-100_0.5-1C_a | snl | LFP | graphite | 25C | 0-100% | 0.5C | 1C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/1C_a | SNL_18650_LFP_25C_0-100_0.5-1C_a | snl | LFP | graphite | 25C | 0-100% | 0.5C | 1C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:21.170410+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/1C_b | SNL_18650_LFP_25C_0-100_0.5-1C_b | snl | LFP | graphite | 25C | 0-100% | 0.5C | 1C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/1C_b | SNL_18650_LFP_25C_0-100_0.5-1C_b | snl | LFP | graphite | 25C | 0-100% | 0.5C | 1C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:21.371205+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/1C_c | SNL_18650_LFP_25C_0-100_0.5-1C_c | snl | LFP | graphite | 25C | 0-100% | 0.5C | 1C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/1C_c | SNL_18650_LFP_25C_0-100_0.5-1C_c | snl | LFP | graphite | 25C | 0-100% | 0.5C | 1C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:21.571851+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/1C_d | SNL_18650_LFP_25C_0-100_0.5-1C_d | snl | LFP | graphite | 25C | 0-100% | 0.5C | 1C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/1C_d | SNL_18650_LFP_25C_0-100_0.5-1C_d | snl | LFP | graphite | 25C | 0-100% | 0.5C | 1C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
